"['Stock: CTAS', 'Net: 104.62', 'Percent Gain: 42.04%']"
"['Stock: BK', 'Net: -1.93', 'Percent Gain: -4.35%']"
"['Stock: GPN', 'Net: -21.59', 'Percent Gain: -9.11%']"
"['Stock: CAG', 'Net: 2.46', 'Percent Gain: 7.28%']"
"['Stock: BSX', 'Net: -5.51', 'Percent Gain: -100.0%']"
"['Stock: HSY', 'Net: -10.44', 'Percent Gain: -6.41%']"
"['Stock: CMI', 'Net: 70.76', 'Percent Gain: 45.26%']"
"['Stock: CB', 'Net: -1.11', 'Percent Gain: -0.72%']"
"['Stock: CBOE', 'Net: -0.31', 'Percent Gain: -0.33%']"
"['Stock: IDXX', 'Net: 201.41', 'Percent Gain: 67.48%']"
"['Stock: DISCA', 'Net: 3.16', 'Percent Gain: 11.73%']"
"['Stock: KO', 'Net: 7.34', 'Percent Gain: 15.45%']"
"['Stock: SCHW', 'Net: 8.59', 'Percent Gain: 19.33%']"
"['Stock: ISRG', 'Net: 215.41', 'Percent Gain: 35.74%']"
"['Stock: DXC', 'Net: 1.11', 'Percent Gain: 4.5%']"
"['Stock: C', 'Net: 3.8', 'Percent Gain: 6.57%']"
"['Stock: KMB', 'Net: -15.53', 'Percent Gain: -100.0%']"
"['Stock: COST', 'Net: 66.71', 'Percent Gain: 21.51%']"
"['Stock: DAL', 'Net: -2.44', 'Percent Gain: -5.72%']"
"['Stock: EQT', 'Net: 2.88', 'Percent Gain: -100.0%']"
"['Stock: LLY', 'Net: 46.17', 'Percent Gain: 37.64%']"
"['Stock: COP', 'Net: -9.63', 'Percent Gain: -19.41%']"
"['Stock: XOM', 'Net: -1.36', 'Percent Gain: -3.19%']"
"['Stock: MAS', 'Net: 6.67', 'Percent Gain: 13.82%']"
"['Stock: DHI', 'Net: 17.01', 'Percent Gain: 32.77%']"
"['Stock: EA', 'Net: 6.75', 'Percent Gain: 4.93%']"
"['Stock: MSFT', 'Net: 54.73', 'Percent Gain: 32.64%']"
"['Stock: FMC', 'Net: 24.12', 'Percent Gain: 26.56%']"
"['Stock: DISH', 'Net: -18.91', 'Percent Gain: -36.9%']"
"['Stock: NOV', 'Net: -4.73', 'Percent Gain: -25.62%']"
"['Stock: EXC', 'Net: -6.49', 'Percent Gain: -13.32%']"
"['Stock: EMN', 'Net: 22.34', 'Percent Gain: 28.66%']"
"['Stock: GIS', 'Net: -7.48', 'Percent Gain: -100.0%']"
"['Stock: EQIX', 'Net: 65.99', 'Percent Gain: -100.0%']"
